# J/35 Sailboat Polar Diagram
# Speed through water (knots) vs True Wind Angle (degrees) and True Wind Speed (knots)
# Based on typical 35-foot cruiser-racer performance data
# TWA,TWS_6,TWS_8,TWS_10,TWS_12,TWS_14,TWS_16,TWS_18,TWS_20,TWS_25,TWS_30
TWA,6,8,10,12,14,16,18,20,25,30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3.2,4.1,4.8,5.3,5.7,6.0,6.2,6.3,6.5,6.6
35,3.8,4.9,5.7,6.3,6.8,7.1,7.3,7.4,7.6,7.7
40,4.2,5.4,6.3,7.0,7.5,7.8,8.0,8.1,8.3,8.4
45,4.5,5.7,6.6,7.3,7.8,8.1,8.3,8.4,8.6,8.7
50,4.6,5.8,6.7,7.4,7.9,8.2,8.4,8.5,8.7,8.8
60,4.5,5.6,6.5,7.1,7.6,7.9,8.1,8.2,8.4,8.5
70,4.2,5.3,6.1,6.7,7.2,7.5,7.7,7.8,8.0,8.1
80,3.8,4.8,5.6,6.2,6.7,7.0,7.2,7.3,7.5,7.6
90,3.4,4.3,5.0,5.6,6.1,6.4,6.6,6.7,6.9,7.0
100,3.2,4.1,4.8,5.4,5.9,6.2,6.4,6.5,6.7,6.8
110,3.4,4.3,5.0,5.6,6.1,6.4,6.6,6.7,6.9,7.0
120,3.7,4.7,5.4,6.0,6.5,6.8,7.0,7.1,7.3,7.4
130,4.1,5.1,5.9,6.5,7.0,7.3,7.5,7.6,7.8,7.9
140,4.5,5.6,6.4,7.0,7.5,7.8,8.0,8.1,8.3,8.4
150,4.8,5.9,6.7,7.3,7.8,8.1,8.3,8.4,8.6,8.7
160,5.0,6.1,6.9,7.5,8.0,8.3,8.5,8.6,8.8,8.9
170,5.1,6.2,7.0,7.6,8.1,8.4,8.6,8.7,8.9,9.0
180,5.2,6.3,7.1,7.7,8.2,8.5,8.7,8.8,9.0,9.1
